club_tm,club_id,valor_plantel,div,equipo
Fortuna Sittard,385,16900000.0,N1,For Sittard
ADO Den Haag,1268,16780000.0,N1,Den Haag
SC Cambuur Leeuwarden,133,13800000.0,N1,Cambuur
SC Telstar,1434,8700000.0,N1,Telstar
Club Brugge KV,2282,199000000.0,B1,Club Brugge
KRC Genk,1184,98500000.0,B1,Genk
RSC Anderlecht,58,93800000.0,B1,Anderlecht
Union Saint-Gilloise,3948,93700000.0,B1,St. Gilloise
Royal Antwerp FC,1096,61050000.0,B1,Antwerp
KAA Gent,157,57300000.0,B1,Gent
Standard Liège,3057,53250000.0,B1,Standard
KVC Westerlo,968,41930000.0,B1,Westerlo
KV Mechelen,354,41600000.0,B1,Mechelen
Sint-Truidense VV,475,36880000.0,B1,St Truiden
Cercle Brugge ,520,35550000.0,B1,Cercle Brugge
Oud-Heverlee Leuven,2727,30900000.0,B1,Oud-Heverlee Leuven
Royal Charleroi SC,172,26850000.0,B1,Charleroi
Lommel SK,5026,25600000.0,B1,Lommel SK
Zulte Waregem,3508,25550000.0,B1,Waregem
KV Kortrijk,601,23350000.0,B1,Kortrijk
RAAL La Louvière,3901,21250000.0,B1,RAAL La Louviere
SK Beveren,28643,16129999.999999998,B1,Beveren
Galatasaray,141,411600000.0,T1,Galatasaray
Fenerbahce,36,280700000.0,T1,Fenerbahce
Besiktas JK,114,266600000.00000003,T1,Besiktas
Trabzonspor,449,185800000.0,T1,Trabzonspor
Basaksehir FK,6890,75500000.0,T1,Buyuksehyr
Corum FK,37951,67250000.0,T1,Corum
Göztepe,1467,60100000.0,T1,Goztep
Samsunspor,152,54330000.0,T1,Samsunspor
Caykur Rizespor,126,48000000.0,T1,Rizespor
Konyaspor,2293,38300000.0,T1,Konyaspor
Kasimpasa,10484,36300000.0,T1,Kasimpasa
Alanyaspor,11282,31850000.0,T1,Alanyaspor
Gaziantep FK,2832,29800000.0,T1,Gaziantep
Genclerbirligi Ankara,820,28850000.0,T1,Genclerbirligi
Amed SK,12382,27630000.0,T1,Amedspor
Erzurumspor FK,39722,26880000.0,T1,Erzurumspor
Kocaelispor,120,25900000.0,T1,Kocaelispor
Eyüpspor,7160,11500000.0,T1,Eyupspor
Rangers FC,124,148650000.0,SC0,Rangers
Celtic FC,371,118400000.0,SC0,Celtic
Heart of Midlothian FC,43,22030000.0,SC0,Hearts
Hibernian FC,903,19050000.0,SC0,Hibernian
Motherwell FC,987,16850000.0,SC0,Motherwell
