fecha,local,visita,competicion,registrado,pL,pE,pV,over25,btts,marcador,sin_pL,sin_pE,sin_pV,bajas_l,bajas_v,cuota_l,cuota_e,cuota_v,cuota_o25,cuota_u25,gl,gv,resultado
2026-09-13,Genclerbirligi,Kasimpasa,T1,2026-09-13 10:31,0.349088916888791,0.2959425672954041,0.3549685158158048,0.4910846610915922,0.5134932351067265,1-1,0.3462145462162736,0.2965683377486935,0.3572171160350329,0.097053726169844,0.1184573002754821,2.22,3.21,3.05,2.08,1.68,1.0,2.0,V
2026-09-13,Levante,Barcelona,SP1,2026-09-13 10:31,0.0612368233875156,0.1192315068321298,0.8195316697803545,0.75117439962264,0.582101900173281,1-2,0.0614110026365796,0.1191210527288044,0.8194679446346158,0.0,0.0396825396825396,14.46,7.89,1.15,1.25,3.71,2.0,4.0,V
2026-09-13,Valladolid,Oviedo,SP2,2026-09-13 10:31,0.4079137047689198,0.3085302752339389,0.2835560199971412,0.3634021805448957,0.4561794363865421,0-1,0.407351032598679,0.3088945936538922,0.2837543737474288,0.0491803278688524,0.0,2.34,2.93,3.13,2.54,1.47,0.0,3.0,V
2026-09-13,Zwolle,Feyenoord,N1,2026-09-13 10:31,0.1173029554530169,0.1849214967573345,0.6977755477896485,0.725456492090009,0.6200509934365543,1-2,0.1144190231285466,0.1828221184774588,0.7027588583939947,0.2155854430379747,0.2135433967636311,5.98,4.91,1.42,1.33,3.11,0.0,7.0,V
2026-09-13,Kalamata,Volos NFC,G1,2026-09-13 10:31,0.3762942614118995,0.3239669605830828,0.2997387780050175,0.4172105460815282,0.5150988825892562,1-1,0.3773607204810447,0.3234948995996043,0.2991443799193509,0.0,0.1614086573734409,2.45,3.02,2.81,2.34,1.54,3.0,1.0,L
2026-09-13,Le Mans,Lens,F1,2026-09-13 10:31,0.1761524866132405,0.2297426725896558,0.5941048407971036,0.5854226122116535,0.5828805347027158,1-1,0.1587185278125812,0.2278884326441048,0.6133930395433139,0.0544464609800363,0.2199803149606299,4.77,4.02,1.64,1.63,2.18,2.0,2.0,E
2026-09-13,Avellino,Palermo,I2,2026-09-13 10:31,0.2484193653387292,0.2764934225065034,0.4750872121547674,0.4990130826376895,0.5385698515099127,1-1,0.2499026542003755,0.283825932702164,0.4662714130974605,0.0871687587168758,0.0096006144393241,3.64,3.2,2.0,1.99,1.74,1.0,1.0,E
2026-09-13,Mantova,Sampdoria,I2,2026-09-13 10:31,0.4500961876434816,0.3025408677962569,0.2473629445602614,0.432417078441298,0.5158962881767107,1-1,0.4520001404484409,0.3015964873306621,0.2464033722208969,0.0359066427289048,0.3041526374859708,2.01,3.19,3.62,2.08,1.68,2.0,0.0,L
2026-09-13,Elversberg,Bayern Munich,D1,2026-09-13 10:31,0.0749514970464688,0.1178839257137153,0.8071645772398159,0.7772903080793826,0.5987711832754345,1-2,0.074881718076065,0.1179225666746571,0.8071957152492778,0.0292850990525409,0.0173076923076923,12.77,8.35,1.15,1.16,4.89,1.0,2.0,V
2026-09-13,Man United,Man City,E0,2026-09-13 10:31,0.3091653458459231,0.2604287204752959,0.4304059336787809,0.6770441824316553,0.6530598595786966,1-1,0.3108557018263609,0.2615244827429306,0.4276198154307085,0.1352374770096289,0.0524475524475524,3.08,3.78,2.1,1.5,2.49,0.0,1.0,V
2026-09-13,Asteras Tripolis,AEK,G1,2026-09-13 10:31,0.1012518327699712,0.1858370518383713,0.7129111153916574,0.5120059841975432,0.4968589985708702,0-1,0.1006850553675417,0.1862404943481453,0.713074450284313,0.0984555984555984,0.0139211136890951,7.69,4.29,1.37,1.85,1.86,1.0,1.0,E
2026-09-13,Napoli,Bologna,I1,2026-09-13 10:31,0.5594414139249726,0.2693806838441143,0.171177902230913,0.4811080155629833,0.5094765387819987,1-1,0.5599354395409267,0.2690191297822499,0.1710454306768233,0.3236994219653179,0.1792387543252595,1.75,3.53,4.72,2.05,1.72,1.0,0.0,L
2026-09-13,Waregem,Charleroi,B1,2026-09-13 10:31,0.3429571514674801,0.3068474297658261,0.3501954187666938,0.5982144779520996,0.5988288468288832,1-1,0.3428240651075946,0.3069186422704599,0.3502572926219454,0.0704500978473581,0.0558659217877094,2.5,3.41,2.55,1.71,2.03,0.0,1.0,V
2026-09-13,Getafe,La Coruna,SP1,2026-09-13 10:31,0.4084814700162563,0.3297416062456991,0.2617769237380445,0.3036002587842578,0.4547663083974105,1-0,0.4076753927282603,0.3301776840877876,0.2621469231839521,0.1300108342361863,0.0086355785837651,2.4,2.79,3.38,3.02,1.36,1.0,1.0,E
2026-09-13,Mallorca,Sabadell,SP2,2026-09-13 10:31,0.5287016122333497,0.3080088298000045,0.1632895579666457,0.3941654342785123,0.4577439764339828,0-0,0.5286635683487884,0.3080285356849562,0.1633078959662554,0.0099601593625498,0.0,1.7,3.41,4.89,2.16,1.64,2.0,0.0,L
2026-09-13,Arouca,Santa Clara,P1,2026-09-13 10:31,0.3216514823895689,0.3377452501786939,0.3406032674317371,0.3674908746224006,0.5217557765360815,1-1,0.3202029524042855,0.3368645567056227,0.3429324908900918,0.0,0.163322445170322,2.56,3.08,2.72,2.25,1.58,1.0,2.0,V
2026-09-13,Benfica,Gil Vicente,P1,2026-09-13 10:31,0.8637465353656154,0.1032946997943879,0.0329587648399965,0.6327686110330373,0.4684719445034462,2-0,0.8640511546448856,0.1030426707191253,0.0329061746359889,0.0,0.057471264367816,1.13,7.44,17.46,1.47,2.52,3.0,1.0,L
2026-09-13,Amedspor,Buyuksehyr,T1,2026-09-13 10:31,0.3755921699424194,0.2691249839913066,0.3552828460662741,0.5524123743270494,0.5887365236820538,1-1,0.3750025587350666,0.2694485895942292,0.3555488516707041,0.0941006152732537,0.047682119205298,2.49,3.38,2.55,1.78,1.95,5.0,0.0,L
2026-09-13,Galatasaray,Kocaelispor,T1,2026-09-13 10:31,0.765896642122226,0.1695060234815139,0.0645973343962601,0.6295993465480543,0.4505941223142916,1-0,0.7674025126236801,0.1687612412703765,0.0638362461059432,0.249514091350826,0.0772200772200772,1.3,5.14,7.96,1.5,2.46,1.0,0.0,L
