equipo,pts5,pts10,gf5,gc5,gf10,gc10,tap_f5,tap_c5,tiros_f10,tiros_c10,elo_tend,fecha
Karlsruhe,0.4,0.9,0.8,2.2,1.2,2.0,5.6,6.6,15.8,15.0,-33.33224679659588,2026-09-19
Kasimpasa,1.8,1.4,1.2,0.8,1.1,1.3,3.2,3.4,10.3,12.6,16.151106600223102,2026-09-18
Kayserispor,1.4,1.0,1.2,1.6,0.9,1.9,7.0,4.4,14.6,14.0,3.0126093499518447,2026-05-17
Kerkyra,0.4,0.8,0.4,2.4,0.6,1.5,4.2,8.4,7.2,11.4,-12.87508742192108,2018-05-05
Kifisia,1.0,1.5,0.8,1.4,1.0,1.3,3.4,4.4,11.3,11.8,6.385197786237086,2026-09-19
Kilmarnock,1.0,1.4,0.4,1.2,1.6,1.7,3.4,4.2,11.2,15.7,-10.672788711194471,2026-09-19
Kocaelispor,2.4,1.3,1.4,0.4,0.8,0.8,4.0,3.4,10.1,14.6,34.66845185205284,2026-09-19
Konyaspor,0.8,0.7,0.8,1.4,0.9,1.7,3.6,5.2,11.9,16.5,-7.2269281837247945,2026-09-18
Kortrijk,0.6,0.7,0.4,1.8,0.6,1.9,3.0,4.4,11.6,14.1,-20.99454941091335,2026-09-20
La Coruna,1.6,1.6,1.6,1.2,1.5,1.1,4.0,4.6,10.0,12.1,21.8962765780484,2026-09-20
Lamia,0.8,0.8,1.0,2.0,0.8,1.7,1.6,3.6,6.8,13.6,-11.979471900212957,2025-05-18
Larisa,1.2,0.7,1.4,1.4,1.2,1.7,3.8,5.6,12.3,11.9,8.47399470873097,2026-05-21
Las Palmas,1.4,1.7,1.2,1.4,1.4,1.6,3.6,3.8,10.2,12.4,-6.7424888108669165,2026-09-20
Latina,1.2,0.6,1.0,1.0,0.7,1.4,,,,,6.784758558259227,2017-05-18
Laval,0.4,0.9,1.0,2.0,1.0,1.9,4.6,5.0,12.2,13.2,-26.05114872165791,2026-09-18
Lazio,2.6,2.0,1.6,0.6,1.5,1.3,3.8,5.0,11.5,13.2,27.588765382662586,2026-09-19
Le Havre,0.4,0.8,0.8,1.4,1.2,1.4,5.0,5.4,12.7,13.8,-14.68836970806592,2026-09-19
Le Mans,1.2,1.5,1.8,1.8,1.4,1.1,5.0,5.0,11.2,11.5,18.130289123153716,2026-09-19
Lecce,1.2,1.6,1.0,2.0,1.1,1.4,3.4,7.8,8.9,14.4,4.593207389171994,2026-09-20
Lecco,0.0,0.5,0.8,2.8,0.8,2.1,4.4,7.2,12.7,14.4,-28.86693130556114,2024-05-10
Leeds,1.8,1.7,1.4,0.6,1.4,1.0,3.6,4.2,12.0,15.0,21.3742939775766,2026-09-20
Leganes,2.0,1.5,1.0,0.8,0.8,1.0,4.8,4.2,10.4,14.9,13.516456226306218,2026-09-20
Legia Warszawa (POL),0.8,0.6666666666666666,1.8,3.6,1.5,4.0,,,,,14.345106880130288,2016-12-07
Leicester,1.0,1.1,0.8,1.0,1.0,1.1,5.0,2.8,17.8,10.9,-6.361564142457382,2026-05-02
Lens,0.8,1.2,1.8,1.8,1.8,1.5,6.4,5.0,16.8,11.2,-24.27948256890454,2026-09-18
Leonesa,1.0,1.5,1.4,1.6,1.6,1.5,3.4,4.4,10.3,13.0,-3.2711685668666632,2018-06-02
Levadeiakos,0.2,1.0,0.0,1.8,1.1,1.8,1.6,4.2,10.7,13.1,-31.889798619320572,2026-09-20
Levante,1.0,1.4,1.6,1.8,1.7,1.8,4.4,5.8,14.3,13.3,8.39991737657374,2026-09-20
Leverkusen,1.6,1.7,2.2,1.2,2.0,1.3,6.8,4.0,19.9,13.9,-8.027008568298697,2026-09-20
Lierse,0.8,0.8,0.8,1.4,1.0,2.2,,,,,-7.683746423123239,2015-03-15
Lille,2.0,1.8,1.6,0.8,1.1,0.7,6.4,4.2,12.4,10.8,8.622708552655013,2026-09-20
Lincoln,1.6,1.375,0.8,0.6,0.875,1.0,3.2,3.4,12.625,15.0,6.613493151535977,2026-09-19
Liverpool,1.8,1.4,1.4,0.8,1.6,1.4,4.8,3.6,14.6,12.1,2.996304675590636,2026-09-20
Livingston,1.0,0.8,1.0,1.8,1.0,1.7,3.4,3.8,10.8,15.4,2.9548629017631356,2026-05-17
Livorno,0.0,0.3,0.4,2.4,0.7,2.2,3.4,7.0,8.3,18.4,-25.588693418717185,2020-07-31
Llagostera,1.6,1.6,1.4,0.8,1.4,1.0,,,,,16.13127489759904,2016-06-04
Logrones,0.6,1.1,0.6,2.0,0.5,1.1,3.0,5.0,11.3,10.1,-20.734285645299906,2021-05-30
Lokeren,0.6,0.6,1.0,1.6,0.9,1.9,4.4,5.2,7.8,10.1,-5.601006658812366,2019-03-17
Lokomotiv Moskva (RUS),0.4,0.3,0.6,1.6,0.7,1.8,,,,,-2.547889004479657,2020-12-09
Lommel SK,1.4,1.1428571428571428,1.0,1.2,0.8571428571428571,1.1428571428571428,3.0,5.2,10.0,21.0,13.034503175953205,2026-09-19
Lorca,1.2,1.4,1.0,2.0,1.1,1.5,4.0,6.6,9.6,12.7,-5.477028736804414,2018-06-01
Lorient,1.0,1.2,1.0,1.2,1.5,1.3,3.2,4.0,10.8,13.2,-8.957531298796312,2026-09-19
Lugo,0.8,0.6,1.0,1.8,0.6,1.5,2.4,5.4,8.8,13.2,-2.530002535007725,2023-05-27
Luton,1.8,1.8,1.6,1.4,1.3,1.0,4.6,3.2,13.6,10.2,10.043980524751078,2025-05-03
Lyon,2.2,2.0,2.0,0.4,2.0,1.3,5.0,3.4,13.6,12.4,20.145265832913537,2026-09-19
M'gladbach,0.6,0.8,2.0,3.2,1.3,2.1,4.6,8.2,13.7,16.0,-17.426205918845653,2026-09-19
Maccabi Haifa (ISR),0.6,0.5,1.4,3.8,1.1666666666666667,3.5,,,,,9.362962549495705,2022-11-02
Maccabi Tel Aviv (ISR),0.0,0.0,0.2,2.4,0.16666666666666666,2.6666666666666665,,,,,-28.469981822145655,2015-12-09
Magdeburg,2.0,1.6,2.0,0.6,1.5,1.2,5.8,4.2,12.9,13.0,29.300704719544,2026-09-18
Mainz,2.0,1.4,2.4,1.2,1.9,1.6,6.8,3.6,16.7,11.9,13.478619504071958,2026-09-19
Malaga,0.4,1.0,0.4,1.8,1.0,1.4,2.2,6.0,11.5,14.4,-10.933255112613779,2026-09-20
Mallorca,2.0,1.7,1.2,0.4,1.3,0.8,4.2,3.0,12.9,10.2,-2.2411219740286015,2026-09-19
Malmö FF (SWE),0.2,0.4,0.2,2.2,0.2,3.1,,,,,-9.54205475124786,2021-12-08
Man City,3.0,2.3,2.6,1.0,2.4,1.1,5.4,4.0,15.9,10.5,20.55459937093201,2026-09-20
Man United,1.0,1.8,1.6,1.6,1.9,1.3,5.6,4.6,19.3,11.7,-21.251123624254888,2026-09-20
Mantova,2.2,2.0,2.0,1.0,1.8,1.4,5.0,3.4,13.0,12.8,25.55526053334438,2026-09-20
Maritimo,0.4,1.1,1.0,2.2,1.1,1.7,2.8,5.8,11.1,13.0,-10.94236261419178,2026-09-19
Marseille,0.6,1.0,1.4,1.6,1.2,1.5,4.8,6.2,15.7,15.5,-19.824852737292304,2026-09-20
Martigues,0.8,1.1,1.4,2.4,1.2,1.6,4.8,6.0,9.8,15.8,2.062630181759687,2025-05-10
Mechelen,0.4,0.5,0.4,1.8,0.9,2.1,3.2,3.6,11.3,14.2,-30.544505149376164,2026-09-19
Mersin Idman Yurdu,0.0,0.1,0.6,3.4,0.5,2.8,,,,,-42.89247230125466,2016-05-18
Metz,1.2,1.1,1.6,1.2,1.1,1.3,4.0,5.6,13.2,14.8,0.12684514428178773,2026-09-19
Middlesbrough,1.8,1.9,2.0,1.6,2.3,1.5,5.0,4.4,17.1,12.6,11.546567922095392,2026-09-19
Milan,2.2,1.5,2.0,0.8,1.5,1.2,4.2,3.4,12.3,11.3,16.57673835763444,2026-09-20
Millwall,1.0,1.5,1.8,2.0,1.8,1.6,3.6,4.8,16.4,12.8,-23.56014419258463,2026-09-19
Milton Keynes Dons,0.4,0.3,1.0,2.0,0.9,2.1,3.4,5.6,11.1,16.7,-15.777625518748891,2016-05-07
Mirandes,0.8,1.2,1.4,1.8,1.5,1.7,4.6,3.4,13.3,12.7,-4.922783010284093,2026-05-31
Modena,2.0,1.4,1.6,0.8,1.3,1.1,6.6,2.8,16.1,12.1,22.114855873110628,2026-09-20
Monaco,2.6,1.8,1.6,0.6,1.8,1.4,4.6,4.4,11.7,14.1,33.646076747154666,2026-09-18
Montpellier,1.6,1.6,0.8,0.8,1.0,0.8,4.4,4.8,12.9,14.5,4.473096247277908,2026-09-18
Monza,0.8,1.4,1.6,2.4,1.8,1.7,6.0,4.8,15.8,12.8,-4.353524238000773,2026-09-18
Moreirense,1.4,1.2,1.2,1.6,1.1,1.8,3.2,5.4,8.8,14.2,10.372026953427849,2026-09-20
Motherwell,0.8,1.2,1.4,2.0,1.3,1.5,5.4,5.2,13.9,13.8,-27.732284739007582,2026-09-19
Mouscron,0.8,0.6,1.2,1.8,1.0,2.1,3.8,5.6,11.8,15.2,-4.0579911503159565,2021-04-18
Mouscron-Peruwelz,1.4,0.9,1.4,1.8,1.1,2.0,,,,,9.754038846969024,2016-03-13
Munich 1860,0.6,1.1,0.8,1.4,0.9,1.3,,,,,-12.298574467033859,2017-05-21
Murcia,2.0,2.1,1.6,1.0,1.7,0.9,,,,,12.173781329182475,2014-06-07
NAC Breda,1.0,0.7,1.2,1.6,1.0,2.2,5.2,6.2,15.5,12.8,16.07046054507782,2026-05-17
NK Maribor (SVN),0.4,0.4,0.4,3.0,0.5,2.7,,,,,-4.9406968473322195,2017-12-06
Nacional,0.0,0.7,0.6,2.6,1.0,1.9,2.6,6.2,11.6,15.0,-37.47523609241466,2026-09-19
Nancy,1.8,1.7,1.6,1.2,1.5,1.1,3.8,2.6,13.9,12.3,26.551235041078826,2026-09-18
Nantes,1.4,1.1,1.6,2.0,1.2,1.4,3.8,3.4,13.2,10.8,-14.845081265889348,2026-09-19
Napoli,1.4,1.7,1.4,1.2,1.7,0.9,4.2,4.4,14.0,13.0,-4.115411340823584,2026-09-20
Newcastle,1.6,1.5,1.8,1.8,1.6,1.5,3.6,5.6,11.5,17.5,-2.045016912711162,2026-09-19
Nice,1.0,0.9,0.6,1.2,0.6,1.0,3.0,4.8,11.0,14.2,-13.851340475760253,2026-09-20
Nijmegen,1.0,1.2,1.4,2.0,1.6,1.7,3.0,5.0,17.6,10.5,-28.521872920941405,2026-09-20
Niki Volos,0.0,0.0,0.0,3.0,0.0,3.0,,,,,-40.167871098774185,2015-05-02
Nimes,0.8,1.0,1.8,2.4,1.6,1.9,4.2,6.0,11.4,11.8,-13.762812677577813,2023-06-02
Niort,0.4,0.3,1.4,2.4,0.8,2.1,3.0,6.4,10.4,16.4,-12.69733140363087,2023-06-02
Norwich,1.2,1.0,2.2,2.2,1.8,2.0,5.8,4.0,14.8,11.7,-6.953063010562801,2026-09-20
Nott'm Forest,1.0,1.3,0.8,1.0,1.6,1.1,3.4,3.0,14.1,14.9,-9.154435160639196,2026-09-19
Novara,0.8,0.9,0.8,1.0,0.7,1.2,3.2,2.6,14.4,10.6,-1.5243378035452224,2018-05-18
Numancia,1.8,1.2,1.2,1.4,0.9,1.6,3.4,5.2,10.6,12.1,8.567945327554071,2020-07-20
Nurnberg,2.6,2.4,2.6,1.2,2.4,1.0,6.6,3.8,16.7,13.4,36.167873316861005,2026-09-19
OFI,0.0,0.0,0.0,3.0,0.2,3.0,,,,,-43.26493208368652,2015-05-02
OFI Crete,2.0,1.6,1.6,0.8,1.6,1.3,3.6,4.2,12.4,14.1,20.95134236053491,2026-09-20
Olhanense,1.2,0.8,1.0,1.8,0.7,1.8,,,,,5.641714544513206,2014-05-10
Olympiakos,2.0,1.8,0.8,0.4,1.0,0.7,5.6,2.6,17.3,9.2,-12.090936743833481,2026-09-20
Oostende,0.6,0.9,0.8,3.0,1.2,2.3,5.8,6.4,13.5,14.2,-24.15037523926003,2023-04-23
Orduspor,0.0,0.0,0.4,2.2,0.6,2.1,,,,,-44.73400906259917,2013-05-18
Orleans,0.6,0.9,0.4,1.8,0.7,1.5,2.6,4.4,11.8,10.7,-19.148775012949955,2020-03-09
Osasuna,0.8,0.8,0.8,2.4,0.8,1.8,3.0,4.8,12.4,10.8,-25.054041140965182,2026-09-19
Osmanlispor,0.8,1.2,1.6,2.0,1.7,1.6,5.0,5.2,10.8,9.5,0.8679661049659444,2018-05-18
Osnabruck,1.4,1.1,1.2,1.6,1.3,2.1,4.8,6.0,12.8,18.8,7.35392919495348,2026-09-19
Oud-Heverlee Leuven,0.8,0.8,0.8,1.4,0.9,1.6,2.8,3.2,12.9,15.3,-11.078846538903917,2026-09-19
Oviedo,1.4,0.9,1.0,0.8,0.5,1.0,4.0,2.8,11.6,14.0,-4.016823075493448,2026-09-20
